latency,type,dataset,third,N1,resp
24704.2,2,NeoRec_2018-07-06_14-02-33,2,-8.274837,low
24785.8,2,NeoRec_2018-07-06_14-02-33,2,6.621629,low
24902,2,NeoRec_2018-07-06_14-02-33,2,0.6689374,low
25013.4,2,NeoRec_2018-07-06_14-02-33,2,6.050765,low
25096.6,2,NeoRec_2018-07-06_14-02-33,2,4.578554,low
25184.8,2,NeoRec_2018-07-06_14-02-33,2,0.2525691,low
25303,2,NeoRec_2018-07-06_14-02-33,2,3.801178,low
25393.5,2,NeoRec_2018-07-06_14-02-33,2,1.638222,low
25489.3,2,NeoRec_2018-07-06_14-02-33,2,5.830688,low
25603.9,2,NeoRec_2018-07-06_14-02-33,2,-0.3553423,low
25692.3,2,NeoRec_2018-07-06_14-02-33,2,-10.68338,low
25784.7,2,NeoRec_2018-07-06_14-02-33,2,-2.598525,low
25901.6,2,NeoRec_2018-07-06_14-02-33,2,-1.15575,low
25992.4,2,NeoRec_2018-07-06_14-02-33,2,-1.425373,low
26083.8,2,NeoRec_2018-07-06_14-02-33,2,-7.963381,low
26170.4,2,NeoRec_2018-07-06_14-02-33,2,2.635668,low
26282.2,2,NeoRec_2018-07-06_14-02-33,2,-0.6507115,low
26372.4,2,NeoRec_2018-07-06_14-02-33,2,1.240219,low
26468.2,2,NeoRec_2018-07-06_14-02-33,2,-0.8272179,low
26550.3,2,NeoRec_2018-07-06_14-02-33,2,3.086731,low
26660.7,2,NeoRec_2018-07-06_14-02-33,2,3.437124,low
26754.9,2,NeoRec_2018-07-06_14-02-33,2,7.013729,low
26870.7,2,NeoRec_2018-07-06_14-02-33,2,5.614682,low
26981.7,2,NeoRec_2018-07-06_14-02-33,2,-4.366574,low
27091.2,2,NeoRec_2018-07-06_14-02-33,2,-0.9156761,low
27204.4,2,NeoRec_2018-07-06_14-02-33,2,3.470096,low
27319.2,2,NeoRec_2018-07-06_14-02-33,2,-0.7032264,low
27404.6,2,NeoRec_2018-07-06_14-02-33,2,-4.661763,low
27523.4,2,NeoRec_2018-07-06_14-02-33,2,-3.661091,low
27613.4,2,NeoRec_2018-07-06_14-02-33,2,0.1754178,low
27698.7,2,NeoRec_2018-07-06_14-02-33,2,3.355807,low
27803.9,2,NeoRec_2018-07-06_14-02-33,2,-2.095885,low
27899.3,2,NeoRec_2018-07-06_14-02-33,2,2.985362,low
28013.7,2,NeoRec_2018-07-06_14-02-33,2,0.4918984,low
28103.1,2,NeoRec_2018-07-06_14-02-33,2,2.685283,low
28203.1,2,NeoRec_2018-07-06_14-02-33,2,-2.451659,low
28320,2,NeoRec_2018-07-06_14-02-33,2,-0.5811999,low
28416.4,2,NeoRec_2018-07-06_14-02-33,2,-0.9700523,low
28514.6,2,NeoRec_2018-07-06_14-02-33,2,-0.01298473,low
28622,2,NeoRec_2018-07-06_14-02-33,2,-11.87365,low
28721,2,NeoRec_2018-07-06_14-02-33,2,-1.690901,low
28826.9,2,NeoRec_2018-07-06_14-02-33,3,0.1507173,low
28917.5,2,NeoRec_2018-07-06_14-02-33,3,-4.330835,low
29005.1,2,NeoRec_2018-07-06_14-02-33,3,0.4156214,low
29094.3,2,NeoRec_2018-07-06_14-02-33,3,-4.857181,low
29209.1,2,NeoRec_2018-07-06_14-02-33,3,-5.400698,low
29302.1,2,NeoRec_2018-07-06_14-02-33,3,-6.040515,low
29417.6,2,NeoRec_2018-07-06_14-02-33,3,7.712582,low
29529.4,2,NeoRec_2018-07-06_14-02-33,3,1.049084,low
29623,2,NeoRec_2018-07-06_14-02-33,3,-0.7523828,low
29736.4,2,NeoRec_2018-07-06_14-02-33,3,-2.708811,low
29832.4,2,NeoRec_2018-07-06_14-02-33,3,-6.559962,low
29943.2,2,NeoRec_2018-07-06_14-02-33,3,0.9015175,low
30039.9,2,NeoRec_2018-07-06_14-02-33,3,3.831599,low
30157.3,2,NeoRec_2018-07-06_14-02-33,3,0.5869979,low
30257.9,2,NeoRec_2018-07-06_14-02-33,3,2.575469,low
30366.5,2,NeoRec_2018-07-06_14-02-33,3,-0.3935575,low
30467.9,2,NeoRec_2018-07-06_14-02-33,3,-2.525639,low
30549.3,2,NeoRec_2018-07-06_14-02-33,3,2.256045,low
30640.4,2,NeoRec_2018-07-06_14-02-33,3,3.027441,low
30722,2,NeoRec_2018-07-06_14-02-33,3,-0.976047,low
30832.4,2,NeoRec_2018-07-06_14-02-33,3,-7.107233,low
30943.8,2,NeoRec_2018-07-06_14-02-33,3,4.928057,low
31059.2,2,NeoRec_2018-07-06_14-02-33,3,-2.091326,low
38062.4,3,NeoRec_2018-07-06_14-02-33,1,-8.613004,low
38145.2,3,NeoRec_2018-07-06_14-02-33,1,-2.658964,low
38256,3,NeoRec_2018-07-06_14-02-33,1,1.489689,low
38371,3,NeoRec_2018-07-06_14-02-33,1,0.4467643,low
38471.6,3,NeoRec_2018-07-06_14-02-33,1,-3.81299,low
38587.5,3,NeoRec_2018-07-06_14-02-33,1,1.549277,low
38680.3,3,NeoRec_2018-07-06_14-02-33,1,2.323924,low
38778.5,3,NeoRec_2018-07-06_14-02-33,1,-3.852379,low
38877.9,3,NeoRec_2018-07-06_14-02-33,2,6.275826,low
38984.1,3,NeoRec_2018-07-06_14-02-33,2,0.2299661,low
39099.5,3,NeoRec_2018-07-06_14-02-33,2,2.411426,low
39204.4,3,NeoRec_2018-07-06_14-02-33,2,6.158477,low
39315.2,3,NeoRec_2018-07-06_14-02-33,2,-6.144412,low
39407,3,NeoRec_2018-07-06_14-02-33,2,7.7603,low
39519.6,3,NeoRec_2018-07-06_14-02-33,2,-1.751053,low
39631.8,3,NeoRec_2018-07-06_14-02-33,2,2.448318,low
39747.1,3,NeoRec_2018-07-06_14-02-33,2,-0.1070484,low
39839.5,3,NeoRec_2018-07-06_14-02-33,2,-6.628576,low
39932.1,3,NeoRec_2018-07-06_14-02-33,2,3.751127,low
40042.3,3,NeoRec_2018-07-06_14-02-33,2,-1.742989,low
40139.7,3,NeoRec_2018-07-06_14-02-33,2,-2.079928,low
40230.3,3,NeoRec_2018-07-06_14-02-33,2,4.83534,low
40311.8,3,NeoRec_2018-07-06_14-02-33,2,-2.119439,low
40422.4,3,NeoRec_2018-07-06_14-02-33,2,0.2824453,low
40524,3,NeoRec_2018-07-06_14-02-33,2,0.3270486,low
40610.6,3,NeoRec_2018-07-06_14-02-33,3,0.8498575,low
40708,3,NeoRec_2018-07-06_14-02-33,3,-3.424668,low
40823.6,3,NeoRec_2018-07-06_14-02-33,3,3.266448,low
40928.3,3,NeoRec_2018-07-06_14-02-33,3,-8.206104,low
41023.3,3,NeoRec_2018-07-06_14-02-33,3,3.194549,low
